,,1,2,3,4,5,6,7,8,,9,10,11,12,13,14,15,16,17,18,,ZUS Buttercreme Mid Month - ,,,,,,,,,,19
25,,thomas_suii,https://www.tiktok.com/@thomas_suii,"145,400",,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
18,Done,mycookiehouse,http://www.tiktok.com/@mycookiehouse,"23,600",,,TRUE,TRUE,TRUE,ZUSKOLS100WZWI,,"รู้ยัง ZUS COFFEE เขามีโปรโมชั่น ซื้อเมนู Buttercreme แถมฟรีมินิครัวซองฟรี! 

ตั้งแต่วันนี้ - 17 พ.ค. 69 น้า
สั่งผ่าน ZUS APP ได้เลย ",https://drive.google.com/drive/folders/1KbH1WUTxrt-19K8lYlSSliw1rddGY8Y-,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZSxe7PgAV
IG Reels : https://www.instagram.com/reel/DYUjla6zq_T
IG  Post : https://www.instagram.com/p/DYUkTURk_6i/",#SGCjfcsqoYteMly3s/0fEX2kAv37mdq7fZ+RFgKcbq+UzoBPm5pl8j8rSHZchGk=,231,9,1,0,9,419,13,2,0,0,0,
27,,superlinllyn,https://www.tiktok.com/share/user/6755364369843012609?source=ad_review,"8,469",,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,mmilkmili,https://www.tiktok.com/share/user/7120238979728245786?source=ad_review,"137,800",,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
19,Done,aingchuta,https://www.tiktok.com/@aingchuta,"60,700",,,TRUE,TRUE,TRUE,ZUSKOLS100WYOR,"9 พ.ค. 69 - 16:00, Central Westville",สั่ง  Buttercreme series รสชาติใดก็ได้ รับฟรี ครัวซองค์ 11-17 พ. ค 69 นี้เท่านั้น,https://drive.google.com/file/d/1G2FPdSjShOwESmaLhUMcpipdwv7YNjfp/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS9T1uN3C/
IG Reels : https://www.instagram.com/reel/DYL9vA5yBHC/
IG  Post : https://www.instagram.com/reel/DYL9vA5yBHC/",#1n4camA8kV9JqqiblHu+DIHSSbn3Nci2eNIMNDJVYSABYrV0WNv1MP4IwMR0IXI=,989,79,3,4,2,450,12,0,1,0,0,0
31,,babyyelly,https://www.tiktok.com/@babyyelly,"1,506",,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
32,,magusgaa,https://www.tiktok.com/share/user/7423315340408914952?source=ad_review,"2,860",,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
34,,jerryb1999,https://www.tiktok.com/@jerryb1999,"39,600",,,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
20,Done,kkmindjourney,https://www.tiktok.com/@kkmindjourney,"3,690",,,TRUE,TRUE,TRUE,ZUSKOLS100TIRA,"9 พ.ค. 69 - 14:00, ยิ่งเจริญ สแควร์","Buttercreme & Mini Croissant
ใน Zus coffee โคตรจะเริศศ 🥐🍵

📍โปรโมชั่น 11 - 17 พ.ค. 69 นี้เท่านั้น 
ซื้อเครื่องดื่มเมนูอะไรก็ได้ใน Buttercreme Series ผ่าน Zus app ก็รับมินิครัวซองต์ไปเลย 1 ชิ้น",https://drive.google.com/drive/folders/1FkBf931SdWucrnt3cSQeJlMzWjHPGpiR,"0.11 - เปลี่ยนจาก ""หอมกาแฟเบาๆ"" -> ""หอมคุกกี้เนยเบาๆ""
0.24 - เขียน ""Series"" ผิด (ในคลิปเป็น Serise)","1. 0.11 - เปลี่ยนจาก ""หอมกาแฟเบาๆ"" -> ""หอมคุกกี้เนยเบาๆ""
2. 0.24 - เขียน ""Series"" ผิด (ในคลิปเป็น Serise)
3. 0.28 ใส่ text หรือพูดเพิ่ม ""แถมฟรี มินิครัวซองต์ ราคาปกติ 60 บาท""",https://drive.google.com/file/d/1Nji4LMutoTX2sFq5VceFGZT6ZsEFXw1H/view?usp=drivesdk,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS9KaKT58/
IG Reels : https://www.instagram.com/reel/DYO9-ykTjNH/
Facebook : https://www.facebook.com/share/r/17du57m5kB/",#unboreCpxVFfJt3Iikpnk+hJkX7Eq3+2b9Ep8HSKaIJm08zNVjK9rZv16B/WXV0=,"1,401",151,13,8,11,327,55,0,5,0,0,x
36,cancel,alicewonderland_d,https://www.tiktok.com/@alicewonderland_d,"23,100",,,FALSE,FALSE,TRUE,,"7 พ.ค. 69 - 14:00, Central Eastville",,,,,,,,,,,,,,,,,,,,,
37,,dish.is.dietfood,https://www.tiktok.com/@dish.is.dietfood,"38,000",,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
38,,rubybellbluu,www.tiktok.com/@rubybellbluu,"34,200",,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
21,Done,eat_aday,https://www.tiktok.com/@eat_aday,"15,200",,,TRUE,TRUE,TRUE,ZUSKOLS100WT5A,"9 พ.ค. 69 - 15:00, Central พระราม 9","ZUS Coffee กาแฟร้านดังจากมาเลเซียเค้าออกเมนูใหม่ในซีรี่ย์ Buttercreme มาพร้อมโปร 1 แถม 1 มินิครัวซอง ตั้งแต่ วันที่ 11-17 พ.ค. 69 สั่งผ่าน ZUS App

กาแฟอราบิก้าแท้จากประเทศกัวเตมาลา เคนยา และ ปาปัวนิวกินี โดยลูกค้าสามารถปรับแต่งเครื่องดื่มได้ ตั้งแต่การเลือกเมล็ดกาแฟไปจนถึงระดับความหวาน

#ZUSCOFFEE #ZUSCOFFEETH #BUTTERCREME ",https://drive.google.com/file/d/1WVxtY6LE8QwPkOWzO2-ZzNMsM24J-B1b/view?usp=drivesdk,"0.00-0.04 - ขอใส่ Text ตัวใหญ่ๆ ได้ไหมค้า
0.16-0.19 - เหมือนเสียงพูดเบาลง","1. 0.00-0.04 - ขอใส่ Text ตัวใหญ่ๆ ได้ไหมค้า
2. 0.10 ใส่ text หรือพูดเพิ่ม ""แถมฟรี มินิครัวซองต์ ราคาปกติ 60 บาท""
3. 0.11 เพิ่ม text ระยะเวลา โปรโมชั่น 11-17 พ.ค. 69 
4. 0.16-0.19 - เหมือนเสียงพูดเบาลง",https://drive.google.com/file/d/1Nji4LMutoTX2sFq5VceFGZT6ZsEFXw1H/view?usp=drivesdk,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS9KfxTcF/
IG Reels : https://www.instagram.com/reel/DYO4ZrXyWfd/
IG  Post : https://www.instagram.com/p/DYO58jfkt5G/",#GW+9a2qTQPQWJtvnQQ+bnzoIo4U3MLxIc9mjX26DriZbk9XL2l330q7lMDlBdZI=,260,9,1,0,0,532,36,11,2,0,0,x
22,Done,saintststt,https://www.tiktok.com/share/user/6516055762928746498?source=ad_review,"144,100",,,TRUE,TRUE,TRUE,ZUSKOLS100WZFR,"9 พ.ค. 69 - 20:00, Central Park",Buttercreme แถม มินิครัวซอง🧈🥐#ZUSCOFFEE #ZUSCOFFEETH #BUTTERCREME,https://drive.google.com/drive/folders/1IjxLdXlRRxvcFLOvDW2-bTygPbSHAsFe,0.24 - เพิ่ม Text “โปรมีตั้งแต่ 11-17 พ.ค. น้า“,"1. ใส่ text หรือพูดเพิ่ม ""แถมฟรี มินิครัวซองต์ ราคาปกติ 60 บาท""
2. 0.24 - เพิ่ม Text “โปรมีตั้งแต่ 11-17 พ.ค. น้า“
3. อาจจะใส่เพลงสไตล์คาเฟ่ คลอเบาๆ",https://drive.google.com/drive/folders/1IjxLdXlRRxvcFLOvDW2-bTygPbSHAsFe,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS9KqJGJ6/
IG Reels : https://www.instagram.com/reel/DYPIKpNzvcz/
IG  Post : https://www.instagram.com/p/DYPIYkpk8-5/",#/vazNApBlBIsEevKsoHvO/D2kcEhZkBQlgv75CTpbfxWuLTdO1VAcUNHShnWetc=,901,96,0,6,0,"1,688",58,0,0,0,0,x
41,,graphic.review,https://www.tiktok.com/@graphic.review,"31,300",,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
23,Done,sunbeam.diary,https://www.tiktok.com/@sunbeam.diary,"8,156",,,TRUE,TRUE,TRUE,ZUSKOLS100ENUK,"8 พ.ค. 69 - 16:00, Thyme บางนา",สุดยอดคอมโบความนัวร์เลยหล่ะ #ZUSCOFFEE #ZUSCOFFEETH #BUTTERCREME,https://drive.google.com/file/d/1tUdwMsOv98cV4wASsIwq2St31qqXSFsr/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS9KnfpJu/
IG Reels : https://www.instagram.com/reel/DYPQTG6O-kx/
IG  Post : https://www.instagram.com/reel/DYPQTG6O-kx/",#tUquD48LD+KnY6SZaL40VvNVaIpfwuJuj7HjeERwRyucQFPXY3GfweMNPic5ky8=,"2,082",135,11,6,9,467,9,0,0,0,0,x
24,Done,gowithlove0,https://www.tiktok.com/@gowithlove0,"6,935",,,TRUE,TRUE,TRUE,ZUSKOLS1002QPR,"9 พ.ค. 69 - 14:00, วานิช เพลส อารีย์","สายมัทฉะต้องลอง 💚🥐
Iced Buttercreme Matcha จาก ZUS Coffee หอมมัทฉะเข้มๆ คู่บัตเตอร์ครีมนัวมาก แถมตอนนี้ซื้อเครื่องดื่มใน Buttercreme Series รับฟรี Mini Croissant ด้วยน้า ✨ รีบกดสั่งผ่าน ZUS App ได้เลย โปรถึง 17 พ.ค. 69 เท่านั้น 🤤#zuscoffee #zuscoffeeth #buttercreme",https://drive.google.com/drive/folders/1vP8yfVzacNjZl2P8FNk5l9Mbd96kyKl5,"1. 0.08 เพิ่ม text ระยะเวลา โปรโมชั่น 11-17 พ.ค. 69 
2. 0.23 ออกเสียงว่า บัตเตอร์เคร็ม","1. 0.08 เพิ่ม text ระยะเวลา โปรโมชั่น 11-17 พ.ค. 69 
2. 0.07 ใส่ text หรือพูดเพิ่ม ""แถมฟรี มินิครัวซองต์ ราคาปกติ 60 บาท""
3. 0.23 ออกเสียงว่า บัตเตอร์เคร็ม",https://drive.google.com/drive/folders/1vP8yfVzacNjZl2P8FNk5l9Mbd96kyKl5,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS9KudRdy/
IG Reels : https://www.instagram.com/reel/DYO94mOT35n/
IG  Post : https://www.instagram.com/p/DYO91ugEyOC/",#/e3Ck35y3q56gEiqs38N41sViWf/lc+C2Qt80eHPK8PmoQkJIHNOGr0cG5wQGyA=,202,27,13,2,1,285,6,0,1,0,0,
44,,gungging__g,https://www.tiktok.com/@gungging__g,"143,300",,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
45,,wachiraphorntawar,https://www.tiktok.com/@wachiraphorntawar,"11,300",,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
46,,mayyyuan,https://www.tiktok.com/@mayyyuan,"9,651",,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
47,,finfirstz,https://www.tiktok.com/share/user/73670131721?source=ad_review,"10,600",,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
48,In Process,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
25,Done,aummyjibi,https://www.tiktok.com/share/user/7227506648838374405?source=ad_review,"30,900",,,TRUE,TRUE,TRUE,ZUSKOLS100SSQC,"7 พ.ค. 69 - 16:00, ยิ่งเจริญ สแควร์","Buttercreme Series ของ ZUS Coffee คือดีย์มากกก 🤤☕
Buttercreme ด้านบนละมุนสุด ยิ่งเอามินิครัวซองมาดิปคือฟินเกินนน 🥐✨
ตอนนี้มีโปรแถมมินิครัวซองด้วยนะ รีบไปสั่งกันน",https://drive.google.com/drive/folders/15MWs8axzCuDRicDR4iiUI8lA5n18Trxa,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS93HrPMY/
IG Reels : https://www.instagram.com/reel/DYL1Fi3RSMI/
IG  Post : https://www.instagram.com/p/DYL1XbokY2r/",#5+nHI9Abc5G2HlEeXCQa6ROOFMivOZ0UznyXbJ4RRkhhnXpB+hQu/kqhpYIzK8k=,"1,079",56,0,1,0,833,8,0,1,1,0,x
50,,withpeach.ewp,https://www.tiktok.com/@withpeach.ewp,"113,700",,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
51,,kwonmabells,https://www.tiktok.com/@kwonmabells?_t=8rv73ADfiOA&_r=1,"13,900",,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
26,Done,papainhaii,https://www.tiktok.com/@papainhaii,"19,800",,,TRUE,TRUE,TRUE,ZUSKOLS100KWLJ,"8 พ.ค. 69 - 14:00, Central Park","☕️ ZUS Coffee เสิร์ฟโปรกลางเดือน

เมื่อซื้อเครื่องดื่มในซีรี่ส์ Buttercreme
รับฟรี! Mini Butter Croissant 🥐

อร่อยแบบดับเบิ้ลกับครัวซองต์หอมเนย
กรอบนอก ฉ่ำใน จับคู่กับเครื่องดื่มในซีรีส์ Buttercreme จะมีอะไรลงตัวกว่านี้อีก
เลือกอร่อยกับเมนูที่ชอบ:
🍃Buttercrème Matcha
✨Butterbae
🍫Buttercrème Chocolate
🍨Buttercrème Frappé
🧈Buttercrème Latté
☕️Buttercrème Black
🥛Buttercrème Spanish Latté

@ZUSCOFFEE.TH 
🗓️เฉพาะวันที่ 11-17 พ.ค. 69 เท่านั้น!
📍ZUS Coffee ทุกสาขา

#ZUSCOFFEE
#ZUSCOFFEETH
#BUTTERCREME",https://drive.google.com/drive/folders/1F7NKH9lYPqsuX3oV77gQdqIt1ZXtQ_ob,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS9KRjbcK/
IG Reels : https://www.instagram.com/reel/DYOiR93zpW0/
IG  Post : https://www.instagram.com/reel/DYOiR93zpW0/",#6WvpWdw3q4l4Z3EtMgpW1ha4Hl5qkdBbNhQGe1tkik0iauD2kIoDj0NJ5jPjQXk=,"42,100",87,4,4,4,"1,554",37,4,1,0,0,TBC
27,Done,bovy.watjanarat,https://www.tiktok.com/@bovy.watjanarat,"13,800",,,TRUE,TRUE,TRUE,ZUSKOLS100E6E6,"7 พ.ค. 69 - 14:00, SCB Park Plaza","ได้กินของอร่อยแล้วฮีลใจสุดๆ
ซื้อเครื่องดื่มอะไรก็ได้ในซีรี่ย์ Buttercreme
แถมฟรี มินิครัวซองต์🥐

#ZUSCOFFEE #ZUSCOFFEETH #BUTTERCREME",https://drive.google.com/drive/folders/1Qsg0uBBUdTJypveQOiKdpHjx69Jz7-88,"0.03 | 0.07 | 0.12 | 0.21- Buttercreme อ่านว่า บัตเตอร์-เคร็ม
0.08 - เหมือนเสียงหายไปค่า","1. 0.03 | 0.07 | 0.12 | 0.21- Buttercreme อ่านว่า บัตเตอร์-เคร็ม
2. 0.08 - เหมือนเสียงหายไปค่า
3. 0.22 - ใส่ text เพิ่มว่า ""แถมฟรี มินิครัวซองต์ ราคาปกติ 60 บาท""",https://drive.google.com/drive/folders/1Qsg0uBBUdTJypveQOiKdpHjx69Jz7-88,"0.22  แก้ราคา มินิครัวซองต์ จาก 40 เป็น 60 บาท
","0.22  แก้ราคา มินิครัวซองต์ จาก 40 เป็น 60 บาท
","Tiktok : https://vt.tiktok.com/ZS9EY8kuf/
IG Reels : https://www.instagram.com/reel/DYPfk1GzHlD/
IG  Post : https://www.instagram.com/p/DYPiJeyk09Y/",#CneRvI37pHfym7HLY7CAP//YFgZSScOxS/ulFr3DKkH+SahPRH0brwS5fcDrvVM=,721,74,19,4,15,"2,599",199,30,1,0,0,
54,,xviii__8,https://www.tiktok.com/@xviii__8?_t=ZS-90jrUGIX8aN&_r=1,"10,400",,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
55,,kwankanlaya,https://www.tiktok.com/share/user/6809619599568880642?source=ad_review,"11,700",,,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
56,,kimmyoiu,https://www.tiktok.com/@kimmyoiu,"10,100",,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
57,,porly2001,https://www.tiktok.com/@porly2001,"41,800",,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
28,Done,goagain25,https://www.tiktok.com/@goagain25,"12,200",,,TRUE,TRUE,TRUE,ZUSKOLS100NPJN,"11 พ.ค. 69 - 17:00, สาขาวานิช เพลส อารีย์",มินิครัวซองกินกับอะไรก็อร่อย แต่กินคู่กับ buttercrème series ของ ZUS COFFEE อร่อยยิ่งกว่า ช่วงนี้มีโปรซื้อเมนู Buttercrème series รับฟรีมินิครัวซองต์ไปเลย เลิฟสุด โปรนี้ถึงวันที่ 17 พฤษภาคมนี้เท่านั้น #ZUSCOFFEE #ZUSCOFFEETH #buttercreme ,https://drive.google.com/file/d/1nt_ncAC_deLr7ww4WgZsIjIIPopAyO4x/view?usp=drivesdk,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZSxeKPcH3/
IG Reels : https://www.facebook.com/share/r/18Womi1tVb/
IG  Post : https://www.instagram.com/reel/DYTgaiZzY5p/",#mFFF3mztP+OD4yA9ARrq1UmTF+rMwSbqJPmx2G+/8v/vJviIMcClrDntFIAx4DE=,"2,054",155,3,1,1,194,11,1,0,0,0,
29,Done,ducky.jesse,https://www.tiktok.com/@ducky.jesse,"36,600",,,TRUE,TRUE,TRUE,ZUSKOLS100AYHX,"8 พ.ค. 69 - 10:00, Central Pinklao",มารับมินิครัวซองที่ ZUS COFFEE ได้แบบฟรีๆ แค่ซื้อเครื่องดื่มอะไรก็ได้ในซีรี่ย์ Buttercreme ตั้งแต่ 11-17 พ.ค. 69 นี้เท่านั้น #zuscoffee #zuscoffeeth #buttercreme,https://drive.google.com/drive/folders/1SZoVdy0WQ66w8q2775aHNrmXXbCGEtr4,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS9KqL2V7/
IG Reels : https://www.instagram.com/reel/DYO7DSDSf_R/
IG  Post : https://www.instagram.com/p/DYPIPhvklwm/",#lxo5gO1z/jvyYqYvb26ZSGo4OGM+qjxxq3VnMAxqvwfeNaqCn+Y49yUHbjJ4B+E=,175,13,3,0,1,455,9,0,1,0,0,x
30,Done,minixx_t,https://www.tiktok.com/@minixx_t?_r=1&_t=ZS-92qRuAqQJSz,"13,600",,,TRUE,TRUE,TRUE,ZUSKOLS100CBJV,"11 พ.ค. 69 - 14:00, บ้านก้ามปู",,https://drive.google.com/drive/folders/1U5UeMQAe6kysgsJkO9ZSf8dC-saMPWwK, ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZSx81GTBY/
IG Reels : https://www.instagram.com/reel/DYW4A7ES1hD/
IG  Post : https://www.instagram.com/p/DYW4i-nEtEY/",#T6XRGI3P07RQLljcMNC4dHYlug+svgvg0avGygPq887s3q2C3kS8SCr3Rkt/798=,"1,672",161,39,8,17,"3,364",132,0,10,1,0,
61,,nnamsom_,https://www.tiktok.com/share/user/6601081560513331201?source=ad_review,"10,600",,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
31,Done,flukexway,https://www.tiktok.com/@flukexway,"4,118",,,TRUE,TRUE,TRUE,ZUSKOLS100223X,"9 พ.ค. 69 - 19:00, Central พระราม 9","ทนความนัวไม่ไหววว~ 🤤 บัตเตอร์เคร็ม ZUS Coffee คือดีย์! จุ่มกับมินิครัวซองต์ที่แถมฟรีคือเดอะเบสสส 🥐💚 โปรมีแค่ 11-17 พ.ค. 69 สั่งผ่าน ZUS App เลยจ้าา

#ZUSCoffee #ZUSCoffeeThailand #Buttercreme #โปรดีบอกต่อ
",https://drive.google.com/drive/folders/1xfrMYPEwm-18Wsd_QX5sUBM1zlQzJHb2?usp=sharing,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS9E1nD9W/
IG Reels : https://www.instagram.com/reel/DYPPbKwP2XD/
IG  Post : https://www.instagram.com/p/DYPRovpj8H4/",#NvfhCWC0d80DcYJOjuRtPfvVQFD+gHVRhJxHMlxTCdmXh7nKwZP1OHdxXhol5XU=,842,120,0,5,3,"1,425",35,2,3,0,0,x
32,Done,smxxe.98,https://www.tiktok.com/@smxxe.98,"22,200",,,TRUE,TRUE,TRUE,ZUSKOLS100VFCQ,"9 พ.ค. 69 - 14:00, United Center สีลม","ใครเป็นสายครัวซองต์ + ช็อกโกแลต ต้องโดน 😭🥐
ลองเอา Mini Butter Croissant จุ่ม Buttercreme Chocolate แล้วมันฟินมากกกก

ตัวครัวซองต์กรอบนอกนุ่มใน
ส่วน Buttercreme Chocolate คือเข้มข้น หอมบัตเตอร์ ละมุนสุดๆ 🤎

ตอนนี้ที่ ZUS COFFEE มีโปรด้วย!
ซื้อเครื่องดื่มอะไรก็ได้ในซีรีย์ Buttercreme
✨ ฟรี Mini Butter Croissant ✨

เราเลือก Iced Buttercreme Chocolate คือเข้ากันแบบ 100/10

📍โปรวันที่ 11-17 พ.ค. 69
📱สั่งผ่าน ZUS COFFEE app เท่านั้นนะ
#ZUSCOFFEE #ZUSCOFFEETH #BUTTERCREME",https://drive.google.com/drive/folders/1o64-tJMXKltyxeh8BxUR0VvAbuJVzw3-,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS9KU3xRg/
IG Reels : https://www.instagram.com/reel/DYO0lWyJ9xo/
IG  Post : https://www.instagram.com/p/DYO32JWCXXb/",#41pYz3swRjd2naRxRYA8iRm4KoEgd9aZl1xlUjumIexMAnyXsIPfpFKL4qglLCo=,798,35,4,7,29,489,13,2,2,0,0,x
33,Done,nornanreview ,https://www.tiktok.com/@nornanreview ,"68,500",,,TRUE,TRUE,TRUE,ZUSKOLS100N52S,"9 พ.ค. 69 - 10:00, Central Ladprao","จุ่มให้ฉ่ำ ฟินให้สุด! 🥐☕️ เมนู Buttercreme Frappe จาก ZUS COFFEE คือที่สุดของความหอมมัน กินคู่กับมินิครัวซองต์คือเข้ากันมากกก บอกเลยว่าแสงออกปาก!
✨ Promotion: สั่งซีรี่ย์ Buttercreme รับฟรี! มินิครัวซองต์ (11-17 พ.ค. 69 เท่านั้น)
📍 พิกัด: ZUS COFFEE ทุกสาขา

• Instagram: Tag @ZUSCOFFEE.TH
• TikTok: Tag @ZUSCOFFEETH

#ZUSCOFFEE #ZUSCOFFEETH #BUTTERCREME",https://drive.google.com/drive/folders/1o8WN25_T_ZbQbvE6VJuZhp__riwrzqmV,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS93Cb8jB/
IG Reels : https://www.instagram.com/reel/DYL8LB6x58S/
IG  Post : https://www.instagram.com/p/DYL8uLUEffR/",#Mjxeo4aLyMQogop8wPjdB0BSaGgcVpRd/eRtHuF6ut/ua7QNpu38UxqUI3SZm0Y=,"33,700",58,8,18,8,677,28,4,1,0,0,x
34,Done,oilchanaporn ,https://www.tiktok.com/@oilchanaporn ,"4,490",,,TRUE,TRUE,TRUE,ZUSKOLS100LF2I,"9 พ.ค. 69 - 10:00, Central Westgate","Buttercreme เมนูใหม่อร่อยแบบนี้ ใครจะอดใจไหว 🤎🥐 ยิ่งเอามินิครัวซองจุ่ม~คือฟินมากกก

ช่วงนี้ ZUS Coffee เค้ามีโปร!! ซื้อเครื่องดื่มในซีรี่ย์ Buttercreme แถมมินิครัวซองฟรี✨

โปรวันที่ 11–17 พ.ค. 69 เท่านั้น
สั่งผ่าน ZUS App ได้เลย~

#ZUSCoffee #ButtercremeSeries #บัตเตอร์เคร็ม #CoffeeLover #รีวิวของกิน #อร่อยบอกต่อ",https://drive.google.com/drive/folders/1MXtIrghRvfTLUCKJpWvdQ25TFCdVOzPi,"- ช่วงต้นคลิป 0.00-0.03 อยากใ้ห้เพิ่มเสียงตอนเอาเข้าปากด้วยได้ไหมค้า
- 0.21 อยากให้เพิ่ม Sound Effect เสียงตอนกิน
- เพิ่ม background music","- ช่วงต้นคลิป 0.00-0.03 อยากใ้ห้เพิ่มเสียงตอนเอาเข้าปากด้วยได้ไหมค้า
- 0.21 อยากให้เพิ่ม Sound Effect เสียงตอนกิน
- เพิ่ม background music
- ใส่ text เพิ่มว่า ""แถมฟรี มินิครัวซองต์ ราคาปกติ 60 บาท""
",https://drive.google.com/drive/folders/1MXtIrghRvfTLUCKJpWvdQ25TFCdVOzPi,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZS9KpMbrP/
IG Reels : https://www.instagram.com/reel/DYPB3OdJJiy/
IG  Post : https://www.instagram.com/p/DYPDIckiTKs/",#HjQOrjzjMzzW9P1jmgR/y07gQ+r79zrvLLFQlcYfUSw5/ORh1gK1VpKv1ChAQ5U=,"1,331",92,32,6,8,407,8,0,1,0,0,x
35,Done,jahismmm,https://www.tiktok.com/@jahismmm,"48,200",,,TRUE,TRUE,TRUE,ZUSKOLS100CEQQ,"9 พ.ค. 69 - 12:00, Central Westgate","ZUS COFFEE ☕️ จัดโปรจึ้งอีกแล้วจ้าา
เพียงซื้อ Buttercreme เมนูใดก็ได้
รับไปเลย Mini Croissant ฟรี 🥐✨
ยิ่งจุ่มยิ่งอร่อย โปรนี้มีทุกสาขานะจ้ะ
ตั้งแต่ 11-17พ.ค.69 รีบเลยย
#ZUSCOFFEE #ZUSCOFFEETH #BUTTERCREME",https://drive.google.com/file/d/1CNyAAHhQzjKNHh1rr-ijmwiRrMhwtqCB/view,ผ่าน,ผ่าน,,,,"Tiktok : https://vt.tiktok.com/ZS9TSfVHq/
IG Reels : https://www.instagram.com/reel/DYMEPODR7VF/
IG  Post : https://www.instagram.com/p/DYMjB4tkexO/",#8iY41rqELBbPIgDnqLI8UIZUWD+c/TRNxJfL9QAqJdkMo1BoK0blHZJU+WRi/+M=,"62,100",150,4,17,4,"2,115",117,2,2,4,3,x
,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,
