NO.,Status,List,Link,Follower,Average View,AVG Engagement,Average Like,Average Comment,Average Share,KOL Confirm,Foxtells Suggest,Brand Confirm,Date/Time,Caption,Draft 1,Foxtells Suggestion (Draft 1),คอลัมน์ 18,Draft 2,Foxtells Suggestion (Draft 2),คอลัมน์ 21,Draft 3,Foxtells Suggestion (Draft 3),คอลัมน์ 24,Link Post,Gen Code,Tiktok - View,Tiktok - Like,Tiktok - Comment,Tiktok - Save,Tiktok - Share,Reels - View,Reels - Like,Reels - Comment,Reels - Share,Reels - Repost,Reels - Save,Note
1,Done,aumkkkkk,https://www.tiktok.com/@aumkkkkk,,,,,,,TRUE,TRUE,TRUE,16 ก.ค. 69 - 12:00,ปลาต้มผักกาดดองที่อร่อยที่สุด!,https://drive.google.com/file/d/1YlS_CKm7XlOGJ8KBFir_EHhB9FmN34Da/view?usp=drivesdk,,,https://drive.google.com/file/d/1tI7w-1FMlkGZgYn3isrj5toYgqd6HlWc/view?usp=drivesdk,,,,,,"IG Reels: https://www.instagram.com/reel/Da-aUmvvI_Y/
TikTok Video: https://vt.tiktok.com/ZSX9CXWgW/
Facebook Post: https://www.facebook.com/share/r/1ETkg57829/",TikTok Video: #IZwEUcKwEXrRVocLB1qm8/3GuH0v3j+gFGHn8yTURnYVY9C4mumLvuwG8Rdr76s=,"139,800",160,0,11,16,488,43,9,0,0,0,
2,Done,mossinmood,https://www.tiktok.com/@mossinmood,,,,,,,TRUE,TRUE,TRUE,16 ก.ค. 69 - 13:00,เปิดแล้ว! YONNY สาขาใหม่ที่ Platinum Pop 🦐🐟 ตู้ซีฟู้ดยาว 6 เมตร เลือกวัตถุดิบสด ๆ ได้เอง เมนูปลาต้มผักกาดดองคือห้ามพลาด น้ำซุปกลมกล่อม ปลาชิ้นใหญ่ ซีฟู้ดสดทุกจาน แถมช่วง Grand Opening ยังมีโปรแรงอีก รีบชวนแก๊งมากินก่อนหมดโปร! 🤤,https://drive.google.com/drive/folders/1ED_fM4bbOq1mgIQRiu8fJPgfp1AQu79h,,,https://drive.google.com/drive/folders/1t09QjLRt22HC_ebYt9YqPXi3Xk9Gaygj,,,,,,"IG Reels: https://www.instagram.com/reel/DbGgeqApZgP/
TikTok Video: https://vt.tiktok.com/ZSXWnd23L/
Facebook Post: https://www.facebook.com/share/r/1DCBh1zEVx/",TikTok Video: #2jwHXwCBmRA+9JTmoyo6VLeLzOX7ZesyakjQgzd0JbKLz1NSuuZAUXFFY4uOiCs=,196,6,1,1,0,"1,230",0,3,0,0,0,
3,Done,chobell,https://www.tiktok.com/@chobell,,,,,,,TRUE,TRUE,TRUE,16 ก.ค. 69 - 12:00,"✨ ร้านปลาต้มผักที่ยกให้เป็นอันดับ 1 ในใจ ตอนนี้มาเปิดที่ PLATINUM POP แล้ว! 😍

ไฮไลต์คือ ตู้แช่วัตถุดิบสดยาว 6 เมตร เลือกเองได้แบบจุใจ 🦐🦪🐟 ซีฟู้ดสดมาก บริการก็ดี มีพนักงานช่วยแกะกุ้งให้ด้วย กินสะดวกสุดๆ 🍤 แถมยังมี ข้าวธัญพืชฟรี อิ่มแบบฟินกว่าเดิม

ช่วง Grand Opening โปรแรงมาก!
🎉 18–24 ก.ค. 2569 50 ท่านแรก รับฟรีปลาต้มผักกาดดอง 1 ชามยักษ์
🎉 25–31 ก.ค. 2569 มาก่อน 14.00 น. รับคูปองลด 50% เมนูหมาล่า ใช้ครั้งถัดไป
🎉 18–31 ก.ค. 2569 รีวิว Google Maps 5⭐️ + แอด LINE OA รับฟรีเครื่องดื่ม 1 แก้ว

📍YONNY สาขา PLATINUM POP (ตรงข้ามเซ็นทรัลเวสต์วิลล์)

#YONNY #YONNYPlatinumPop #PlatinumPOP #ปลาต้มผัก #ร้านอร่อยบอกต่อ #Seafood #GrandOpening #รีวิวร้านอร่อย #ของอร่อยกรุงเทพ",https://drive.google.com/drive/folders/1DfyZ_jSyiKYfmzrhBbF3d56iKo3wRul6,,,https://drive.google.com/drive/folders/1DfyZ_jSyiKYfmzrhBbF3d56iKo3wRul6,,,,,,"IG Reels: https://www.instagram.com/reel/Da7Sg7kAfWG/
TikTok Video: https://vt.tiktok.com/ZSXawnF6A/
Facebook Post: https://m.facebook.com/story.php",TikTok Video: #JU9FaIAKmoWPdTCdWolFxSYPGwZ6M1qQNqtOimaYE9Rw1KPsdpcsnrVXTi0iLiY=,"169,900","1,156",4,29,17,"1,469",35,0,0,1,0,
4,Done,nn.nenne,https://www.tiktok.com/@nn.nenne,,,,,,,TRUE,TRUE,TRUE,16 ก.ค. 69 - 12:00,YONNY  ร้านปลาต้มผักกาดดองอันดับหนึ่งจากจีน 🇨🇳 บุก PLATINUM POP แล้วจ้า! 🤩 ซีฟู้ดตักเองสดๆ เต็มตู้แช่ยาว 6 เมตร ✨ พร้อมโปรแรงฉลองเปิดร้าน!,https://drive.google.com/drive/folders/1Ew7UF28mjSwldRQY2kuk0e9my2Ex6JAw,,,https://drive.google.com/drive/folders/1Ew7UF28mjSwldRQY2kuk0e9my2Ex6JAw,,,,,,"IG Reels: https://www.instagram.com/reel/Da-bfrcggLx/
TikTok Video: https://vt.tiktok.com/ZSX9CrvER/
Facebook Post: https://www.facebook.com/share/r/18zxE2jkuz/",TikTok Video: #gKJNcJvqVzPKTB+HnWKefF3ZY8XCAxGjDdo5+UycVwG74yzkxNvDmwKgVtT1md4=,"158,400",148,2,21,29,770,26,3,0,1,0,
5,Done,tiewpaisuaypaii.sine,https://www.tiktok.com/@tiewpaisuaypaii.sine,,,,,,,TRUE,TRUE,TRUE,16 ก.ค. 69 - 13:00,"กินหม่าล่ากับซีฟู้ดตักเองได้แบบจุกๆ! 🦐🐟 บุก YONNY สาขาใหม่ล่าสุดที่ PLATINUM POP (ตรงข้ามเซ็นทรัลเวิลด์) ไฮไลท์เด็ดคือตู้แช่วัตถุดิบยาวอลังการถึง 6 เมตร ของสดมากกก! มีบริการแกะกุ้งให้ด้วย เลิศสุดๆ แถมข้าวตักฟรีไม่อั้นไปอีก!
🎉 ฉลองเปิดร้านใหม่ แจกปลาต้มผักกาดดองชามยักษ์ฟรี! หรือคูปองลด 50% เมนูหม่าล่าทั่ง! โปรดีขนาดนี้สายกินต้องรีบพุ่งตัวมาด่วนนนน! 👇
#YONNY #YONNYPlatinumPop #หม่าล่าทั่ง #ปลาต้มผักกาดดอง #รีวิวร้านอาหาร #อร่อยบอกต่อ #ปักหมุดร้านอร่อย #ของกินกรุงเทพ",https://drive.google.com/file/d/1ktAFG9mwIra6WsR07MW7ddzkF84V8xRV/view?usp=drivesdk,,,https://drive.google.com/file/d/1FQYHf5IbtfOLjh91I5Om8weMxst5gEhW/view?usp=drivesdk,,,,,,"IG Reels: https://www.instagram.com/reel/Da-eWr_h_mk/
TikTok Video: https://vt.tiktok.com/ZSX9VxCuE/
Facebook Post: https://www.facebook.com/share/r/1DoZMLjEMu/",TikTok Video: #aQiSNm4GtCc3jSgM7A1jhsfN3oe5S+kflACFQurCgMhOpk6FMAcBjdM9MX7/0FE=,"146,000",140,5,15,32,"14,100",184,2,0,1,0,
6,Done,fonnonale,https://www.tiktok.com/share/user/73706512071,,,,,,,TRUE,TRUE,TRUE,16 ก.ค. 69 - 12:00,50 โต๊ะแรก รับฟรีปลาต้มผักกาดดอง 1 เซตยักษ์! 🤩 YONNY ร้านปลาต้มผักกาดดองอันดับ 1 จากจีน เปิดสาขาใหม่ที่ Platinum Pop แล้ว!,https://drive.google.com/file/d/1mtb6qydK3yQT9DuZDmP1QoNsozbM0Nfo/view?usp=drivesdk,,,https://drive.google.com/file/d/1pE7ju259oemjuM6GOa-m5H924fhDHsvf/view?usp=drivesdk,,,,,,"IG Reels: https://www.instagram.com/reel/DbAA8M8gBTR/
TikTok Video: https://vt.tiktok.com/ZSXQjH4dd/
Facebook Post: https://www.facebook.com/share/r/1EGzhEFi3o/",TikTok Video: #ldvETvOyCzNr99CRNXw+e6NetCY9Qr0lw4pYrojT+CVeltUV3oDAVpSB5HED9mA=,"38,200",38,2,4,6,880,0,5,0,1,0,
7,Done,flukexway,https://www.tiktok.com/@flukexway,,,,,,,FALSE,FALSE,FALSE,16 ก.ค. 69 - 13:00,"ซี้ดดดด! เดือดสุดในย่านนี้ 🌶️🐟 YONNY สาขาใหม่ PLATINUM POP ตู้แช่ยาว 6 เมตรหยิบเพลินมาก ทีเด็ดปลาต้มผักกาดดองซดน้ำคล่องคอ ข้าวฟรีไม่อั้น โปรฉลองเปิดร้านเพียบ แวะไปด่วนน! 🥢✨
#YonnyPlatinumPop #รีวิวของกิน #อร่อยไปกิน #หม่าล่าทั่ง #ปักหมุดร้านอร่อย",https://drive.google.com/file/d/1_7V4kVfI7Kb6_jn-xSpnRMKQT5NNLshH/view?usp=sharing,,,https://drive.google.com/file/d/1rZ3QGbALYP7eNfbjCgS9yB3ehVV7ZCvm/view?usp=sharing,,,,,,"IG Reels: https://www.instagram.com/reel/DbDbFnmuVAp/
TikTok Video: https://vt.tiktok.com/ZSXVHPNcd/
Facebook Post: https://www.facebook.com/share/r/1CpgAcrFBp/",TikTok Video: #PzoxyhoUJMnB8riImOTvurTK6s4jbenbeOsFlMB44E4HAD8uNItoEDB9LWzdlDs=,"55,700",91,2,11,17,"1,408",29,3,0,1,0,
8,Done,boobaiiyook,https://www.tiktok.com/@boobaiiyook,,,,,,,FALSE,FALSE,FALSE,16 ก.ค. 69 - 13:00,Yonny Grand Opening ที่ Platinum POP! เสิร์ฟความอร่อยมาถึงที่เลยต้องจัดกันด่วน,https://drive.google.com/drive/folders/1IFhJ4pP-LLMie05_YWkDgmigLzMfzYb6,,,https://drive.google.com/drive/folders/1IFhJ4pP-LLMie05_YWkDgmigLzMfzYb6,,,,,,"IG Reels: https://www.instagram.com/reel/DbA2cx4v2u4/
TikTok Video: https://vt.tiktok.com/ZSXCP2G7w/
Facebook Post: https://fb.watch/ItP02IzZoO/",-,"74,300",104,25,20,21,"2,196",0,5,0,1,0,
9,Done,earn.yakreview,https://www.tiktok.com/@earn.yakreview,,,,,,,FALSE,FALSE,FALSE,16 ก.ค. 69 - 13:00,"ร้านดังจากจีนมาแล้ว! 🇨🇳✨ ปลาต้มผักกาดดองหม้อใหญ่ ชามะนาวโฮมเมดแก้วบึ้ม หม่าล่าชั่งขีดคือห้ามพลาด 🥢 ตอนนี้มีโปร Grand Opening ลด 20% รีบไปลองกัน!

#PlatinumPop #ปลาต้มผักกาดดอง #หม่าล่าชั่งขีด #อาหารจีน #รีวิวของอร่อย",https://drive.google.com/drive/folders/1aAJNK0dlGpXzJIj1RQWY-wldTHZlrsyj,,,https://drive.google.com/drive/folders/1aAJNK0dlGpXzJIj1RQWY-wldTHZlrsyj,,,,,,"IG Reels: https://www.instagram.com/reel/DbDhEOvJhX6/
TikTok Video: https://vt.tiktok.com/ZSXVVnoUT/
Facebook Post: https://www.facebook.com/share/r/1DzVdk6Nty/",TikTok Video: #oV7qW/GaBJieEvHsBfcXikh5xKCKmdBJcWidzF2DedEe14ZXdV+3NrrkOJijWHE=,"61,700",196,2,11,17,"2,077",17,0,0,1,0,
